"Class"	"Sex"	"Age"	"Survived"	"Age_Num"
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Male"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"3rd"	"Female"	"Child"	0	12.8908803910017
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"1st"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
"2nd"	"Male"	"Adult"	0	-99
