"id"	"sp"	"sex"	"FL"	"RW"	"CL"	"CW"	"BD"
1	"B"	"M"	8.1	6.7	16.1	19	7
2	"B"	"M"	8.8	7.7	18.1	20.8	7.4
3	"B"	"M"	9.2	7.8	19	22.4	7.7
4	"B"	"M"	9.6	7.9	20.1	23.1	8.2
5	"B"	"M"	9.8	8	20.3	23	8.2
6	"B"	"M"	10.8	9	23	26.5	9.8
7	"B"	"M"	11.1	9.9	23.8	27.1	9.8
8	"B"	"M"	11.6	9.1	24.5	28.4	10.4
9	"B"	"M"	11.8	9.6	24.2	27.8	9.7
10	"B"	"M"	11.8	10.5	25.2	29.3	10.3
11	"B"	"M"	12.2	10.8	27.3	31.6	10.9
12	"B"	"M"	12.3	11	26.8	31.5	11.4
13	"B"	"M"	12.6	10	27.7	31.7	11.4
14	"B"	"M"	12.8	10.2	27.2	31.8	10.9
15	"B"	"M"	12.8	10.9	27.4	31.5	11
16	"B"	"M"	12.9	11	26.8	30.9	11.4
17	"B"	"M"	13.1	10.6	28.2	32.3	11
18	"B"	"M"	13.1	10.9	28.3	32.4	11.2
19	"B"	"M"	13.3	11.1	27.8	32.3	11.3
20	"B"	"M"	13.9	11.1	29.2	33.3	12.1
21	"B"	"M"	14.3	11.6	31.3	35.5	12.7
22	"B"	"M"	14.6	11.3	31.9	36.4	13.7
23	"B"	"M"	15	10.9	31.4	36.4	13.2
24	"B"	"M"	15	11.5	32.4	37	13.4
25	"B"	"M"	15	11.9	32.5	37.2	13.6
26	"B"	"M"	15.2	12.1	32.3	36.7	13.6
27	"B"	"M"	15.4	11.8	33	37.5	13.6
28	"B"	"M"	15.7	12.6	35.8	40.3	14.5
29	"B"	"M"	15.9	12.7	34	38.9	14.2
30	"B"	"M"	16.1	11.6	33.8	39	14.4
31	"B"	"M"	16.1	12.8	34.9	40.7	15.7
32	"B"	"M"	16.2	13.3	36	41.7	15.4
33	"B"	"M"	16.3	12.7	35.6	40.9	14.9
34	"B"	"M"	16.4	13	35.7	41.8	15.2
35	"B"	"M"	16.6	13.5	38.1	43.4	14.9
36	"B"	"M"	16.8	12.8	36.2	41.8	14.9
37	"B"	"M"	16.9	13.2	37.3	42.7	15.6
38	"B"	"M"	17.1	12.6	36.4	42	15.1
39	"B"	"M"	17.1	12.7	36.7	41.9	15.6
40	"B"	"M"	17.2	13.5	37.6	43.9	16.1
